Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Credit type,Chrome 68.0.3440.106,,2018-09-05 15:44:36,2018-09-05 15:46:21,1m - 44.759s,FAILED
,,,,,,
Test Cases/Credit Types exist in the system,Chrome 68.0.3440.106,,2018-09-05 15:44:37,2018-09-05 15:45:28,50.978s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-05 15:44:37,2018-09-05 15:45:22,45.220s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-09-05 15:45:22,2018-09-05 15:45:23,0.321s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-05 15:45:23,2018-09-05 15:45:23,0.459s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 15:45:23,2018-09-05 15:45:25,1.514s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 15:45:25,2018-09-05 15:45:25,0.445s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 15:45:25,2018-09-05 15:45:25,0.230s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-05 15:45:25,2018-09-05 15:45:28,2.299s,PASSED
,,,,,,
Test Cases/Credit Types exist in the system,Chrome 68.0.3440.106,,2018-09-05 15:45:28,2018-09-05 15:46:21,53.282s,FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-05 15:45:28,2018-09-05 15:46:17,49.133s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-09-05 15:46:17,2018-09-05 15:46:18,0.974s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-05 15:46:18,2018-09-05 15:46:18,0.031s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 15:46:18,2018-09-05 15:46:18,0.524s,FAILED
setText,Chrome 68.0.3440.106,,2018-09-05 15:46:18,2018-09-05 15:46:19,0.392s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 15:46:19,2018-09-05 15:46:19,0.427s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-05 15:46:19,2018-09-05 15:46:21,1.763s,PASSED
