Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestDemo,Chrome 68.0.3440.106,,2018-09-07 14:52:35,2018-09-07 14:53:37,1m - 2.442s,PASSED
,,,,,,
Test Cases/Rate_Table_Variable_exist_in_the_system,Chrome 68.0.3440.106,,2018-09-07 14:52:35,2018-09-07 14:53:37,1m - 1.844s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-07 14:52:36,2018-09-07 14:53:24,47.635s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-09-07 14:53:24,2018-09-07 14:53:24,0.370s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-07 14:53:24,2018-09-07 14:53:25,0.425s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-07 14:53:25,2018-09-07 14:53:25,0.262s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:53:25,2018-09-07 14:53:26,1.261s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:53:26,2018-09-07 14:53:26,0.200s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:53:26,2018-09-07 14:53:29,2.302s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-07 14:53:29,2018-09-07 14:53:29,0.397s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:53:29,2018-09-07 14:53:29,0.123s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:53:29,2018-09-07 14:53:29,0.158s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-07 14:53:29,2018-09-07 14:53:29,0.059s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:53:29,2018-09-07 14:53:29,0.087s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-07 14:53:29,2018-09-07 14:53:30,0.492s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:53:30,2018-09-07 14:53:30,0.190s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-07 14:53:30,2018-09-07 14:53:35,5.014s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-07 14:53:35,2018-09-07 14:53:37,2.166s,PASSED
