Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demo,Chrome 68.0.3440.106,,2018-09-05 13:18:55,2018-09-05 13:21:08,2m - 13.228s,FAILED
,,,,,,
Test Cases/Duplicate of Credit Types,Chrome 68.0.3440.106,,2018-09-05 13:18:56,2018-09-05 13:19:55,59.175s,FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-05 13:18:56,2018-09-05 13:19:41,44.730s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-09-05 13:19:41,2018-09-05 13:19:41,0.393s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-05 13:19:41,2018-09-05 13:19:46,5.012s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-05 13:19:46,2018-09-05 13:19:46,0.079s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:19:46,2018-09-05 13:19:48,1.132s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:19:48,2018-09-05 13:19:48,0.191s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:19:48,2018-09-05 13:19:48,0.736s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-05 13:19:48,2018-09-05 13:19:49,0.038s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:19:49,2018-09-05 13:19:49,0.102s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:19:49,2018-09-05 13:19:49,0.132s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-05 13:19:49,2018-09-05 13:19:49,0.058s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:19:49,2018-09-05 13:19:49,0.078s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 13:19:49,2018-09-05 13:19:49,0.212s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:19:49,2018-09-05 13:19:49,0.227s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-05 13:19:49,2018-09-05 13:19:54,5.004s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:19:54,2018-09-05 13:19:55,0.357s,FAILED
,,,,,,
Test Cases/Duplicate of Credit Types,Chrome 68.0.3440.106,,2018-09-05 13:19:55,2018-09-05 13:21:07,1m - 12.792s,FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-05 13:19:55,2018-09-05 13:20:46,51.700s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-09-05 13:20:46,2018-09-05 13:20:52,5.650s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-05 13:20:52,2018-09-05 13:20:57,5.004s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-05 13:20:57,2018-09-05 13:20:57,0.070s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:20:57,2018-09-05 13:21:00,3.081s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:21:00,2018-09-05 13:21:00,0.218s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:21:00,2018-09-05 13:21:01,0.674s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-05 13:21:01,2018-09-05 13:21:01,0.053s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:21:01,2018-09-05 13:21:01,0.119s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:21:01,2018-09-05 13:21:02,0.179s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-05 13:21:02,2018-09-05 13:21:02,0.048s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:21:02,2018-09-05 13:21:02,0.133s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 13:21:02,2018-09-05 13:21:02,0.249s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:21:02,2018-09-05 13:21:02,0.180s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-05 13:21:02,2018-09-05 13:21:07,5.003s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 13:21:07,2018-09-05 13:21:07,0.359s,FAILED
